epoch;acc;loss;val_acc;val_loss
0;0.38645;1.711312438583374;0.5034;1.3971467475891113
1;0.53395;1.319618120765686;0.6034;1.1469756132125855
2;0.594275;1.148359303855896;0.5859;1.1506181867599488
3;0.63185;1.0416215618133544;0.6526;0.998495139503479
4;0.6625;0.9610667545318603;0.6206;1.0840781801223756
5;0.68545;0.8957572904586792;0.6664;0.9614971839904786
6;0.709575;0.835709688949585;0.7083;0.8595241416931152
7;0.729525;0.7783840717315674;0.6928;0.901512092590332
8;0.74305;0.7386309968948365;0.6979;0.8911804710388184
9;0.760125;0.6934925369262696;0.7157;0.835188041305542
