epoch;acc;loss;val_acc;val_loss
0;0.305325;1.9111867031097411;0.4795;1.4658041664123536
1;0.513675;1.3699967315673829;0.5596;1.2656394411087035
2;0.60505;1.113621053123474;0.59;1.1542327352523805
3;0.655525;0.9786167734146118;0.687;0.8886204444885254
4;0.6878;0.8778309362411499;0.7072;0.8312121168136597
5;0.715825;0.8015773524284363;0.6903;0.9257518070220947
6;0.7389;0.7414705739021301;0.7331;0.7781006065368652
7;0.758475;0.6841463682174682;0.7424;0.7706224147796631
8;0.77425;0.6384050431251526;0.6968;0.9236502243041992
9;0.786925;0.5978900924682617;0.7433;0.76959286403656
10;0.800525;0.5563075942039489;0.7299;0.8626452571868897
11;0.810575;0.5305855962753296;0.7568;0.7745392860412598
12;0.82195;0.499053124332428;0.7584;0.792008616065979
13;0.831;0.47333865094184874;0.7531;0.7882459001541138
14;0.8366;0.45744265990257266;0.7672;0.7724682229995727
15;0.8463;0.43525971360206606;0.7593;0.8200555219650268
16;0.854;0.4111443864822388;0.7542;0.8288682130813598
17;0.856025;0.4060784244537354;0.7537;0.8505049858093262
18;0.86245;0.387789595746994;0.7572;0.8611157152175903
19;0.867425;0.37174892263412473;0.7573;0.8858022365570069
