epoch;acc;loss;val_acc;val_loss
0;0.398675;1.6798029483795165;0.5164;1.3411294265747071
1;0.5578;1.2401668453216552;0.6138;1.1106500926971437
2;0.61945;1.0743790079116822;0.6501;1.0033473163604736
3;0.66155;0.9586324602127075;0.6743;0.93968107213974
4;0.69255;0.8742496107101441;0.6768;0.9374707778930664
5;0.718925;0.8008764991760254;0.6818;0.9055091358184815
6;0.7379;0.7465489557266235;0.7193;0.8187723742485047
7;0.7546;0.6941089809417724;0.7248;0.8330651206970214
8;0.772525;0.642301030921936;0.7246;0.8253618984222412
9;0.786975;0.5991919917106628;0.7126;0.8557349924087524
