epoch;acc;loss;val_acc;val_loss
0;0.37715;1.7271128213882447;0.4654;1.4732224792480468
1;0.53565;1.311358016395569;0.5727;1.2347749626159668
2;0.59875;1.1423295738220214;0.6382;1.0421138248443604
3;0.636525;1.035348025894165;0.6589;0.973025772857666
4;0.6666;0.9482081903457642;0.6534;0.9927386192321778
5;0.69075;0.8834222428321838;0.6541;1.0014545616149901
6;0.713775;0.8219794347763062;0.687;0.9021667316436768
7;0.72805;0.7770399146080017;0.6843;0.9210688198089599
8;0.749575;0.7279216550827027;0.7175;0.8330110939025879
9;0.7662;0.6797134313583374;0.7091;0.8817931453704834
