epoch;acc;loss;val_acc;val_loss
0;0.397625;1.6899540725708009;0.567;1.2544059009552002
1;0.568675;1.2165686079025269;0.6124;1.1595603279113769
2;0.6272;1.0553975587844848;0.6594;0.9762080522537231
3;0.6688;0.940611814880371;0.702;0.8695015140533447
4;0.701675;0.8545505243301391;0.7113;0.8362817531585693
5;0.7219;0.788438150215149;0.7115;0.8385300086975098
6;0.74445;0.7288032838821411;0.7025;0.8546274583816529
7;0.758925;0.6830826969146728;0.696;0.9099346279144287
8;0.776375;0.6319980041503906;0.7427;0.7625290538787842
9;0.792825;0.5865859395980835;0.7292;0.8241408847808838
10;0.80225;0.5556724955558777;0.7376;0.799868889427185
11;0.81395;0.5218938536643982;0.7446;0.7849096027374267
12;0.822125;0.5018505599975586;0.7486;0.7941159421920776
13;0.8356;0.4676260781288147;0.7479;0.7958012886047363
14;0.841325;0.44505053334236144;0.7512;0.7979655527114868
15;0.84585;0.4331455900192261;0.7371;0.84250286693573
16;0.852525;0.41236762228012086;0.7487;0.8266061115264892
17;0.857375;0.40122320318222043;0.7444;0.8528895328521728
18;0.8669;0.376681707572937;0.7471;0.8536662364959717
19;0.86915;0.3742056458473206;0.7318;0.9115269741058349
