epoch;acc;loss;val_acc;val_loss
0;0.339325;1.8321334350585938;0.4685;1.455690453338623
1;0.553025;1.252058139705658;0.619;1.0635989707946778
2;0.6494;0.995538332939148;0.6965;0.8585152143478394
3;0.700675;0.8515102855682373;0.6939;0.8657020420074463
4;0.738025;0.739578939819336;0.727;0.8188825580596923
5;0.771;0.6489048649787903;0.7508;0.7675421546936035
6;0.79675;0.5746915224075317;0.7511;0.7480758462905884
7;0.8217;0.5028143719673157;0.7541;0.7506215797424316
8;0.839025;0.45645518407821656;0.7597;0.7783199810028076
9;0.854225;0.41190747318267823;0.7404;0.8677576892852783
10;0.871725;0.36268265371322633;0.7631;0.8184947820663452
11;0.880425;0.3351612184047699;0.7635;0.8394846429824829
12;0.8883;0.3129673260211945;0.7507;0.9253685808181763
13;0.8997;0.28728141379356387;0.7637;0.9099334951400757
14;0.903275;0.27651546564102175;0.7637;0.9004100721359253
15;0.9132;0.24959931497573853;0.6883;1.386528337097168
16;0.9127;0.24663822572231292;0.7636;0.9352234645843506
17;0.918225;0.23339224697351454;0.7615;1.0333749782562256
18;0.920525;0.22369657320976258;0.7586;1.0225319084167481
19;0.924075;0.21932596714496613;0.7611;1.029993543624878
